codigo;detalhe;ean;marca;link
10781;DECORCRYL INT. LAVABLE MATE BASE P 0.95L;7790715567440;Colorin;
10801;EMOCION LATEX MATE CS BASE P X 19 LTS;7790715556451;Colorin;
10828;EMOCION SATINADO CS BASE A X 8.6 LTS;7790715556727;Colorin;
10875;AUTOPOLISH ABRILLANTADOR SILICON.GATILLO X450 E;7790715131542;Colorin auto;https://somosrex.com/silicona-a-gatillo-450-ml-autopolish.html
10882;AUTOPOLISH DESENGRASANTE X 0.5 LTS E;7790715003108;Colorin auto;
10968;TRUPER ESPÁTULA Inox. 5 USOS  /  60MM  ''  S;7506240622284;Lusqtoff;
11003;TRUPER MARTILLO DOBLE CARA GOMA  / ACRILICO;7506240670858;Lusqtoff;
11048;TITANIO PRO LATEX EXTERIOR X 10 LTS;7790715011165;Colorin;https://somosrex.com/latex-interior-titanio-pro-mate-blanco-10-lts-colorin.html
11050;TITANIO ESM BRILL BLANCO X 1 LTS;7790715561417;Colorin;
11078;"PANEL DE VIDRIO PIE/PARED LILIANA ""HOT PANEL"" E";7793862008927;Liliana ( electro calefa ventilacion)D;https://somosrex.com/panel-calefactor-de-vidrio-liliana-ppv510-turboluxe.html
11081;LIVING LATEX INTERIOR BLANCO X 4 LTS R;7790715561189;Colorin;https://somosrex.com/latex-interior-jazmin-colorin-living-4-lt.html
11082;LIVING LATEX INTERIOR BLANCO X 10 LTS S;7790715561233;Colorin;
11084;LIVING LATEX INTERIOR ARANDANO X 1 LTS;7790715001661;Colorin;https://somosrex.com/latex-interior-ceibo-colorin-living-1-lt.html
11120;LUSQTOFF BLACK IRON-300 SOLDADORA INVERTER S;7798225223610;Lusqtoff;https://somosrex.com/soldadora-inverter-iron-300-lusqtoff.html
11128;REVESTIM. ROMANICA MEDIO PRAGA VADEX 25 K;724751061737;Vadex;https://somosrex.com/revestimiento-texturado-vadex-romanica-medio-praga-25kg.html
11146;CALENTADOR DE PATIO TIPO HONGO DAZCGB-A DAEWOO;7799034006494;Daewo ( CALEF EXT);https://somosrex.com/hongo-calefactor-estufa-exterior-philco-gas-patio-heater-94pzgb2022ap.html
11159;PINTURA PARA PISOS MULTISUPERFICIES GRIS 1.25 K;7792261026198;Venier;
11173;RODILLO CUBREMAS DORADO 22 CM;7798184152754;El Galgo;https://somosrex.com/rodillo-lana-dorado-22cm-galgo.html
11223;PAVA ELECTRICA YELMO 1850 W NEGRA;7790368018313;First Rate Ultracomb;
11225;COBERTOR PLASTICO COLORMET 3X3;7798370480999;COLORMET;https://somosrex.com/cobertor-de-polipropileno-40-micrones-3-x-3-mt.html
11227;ALBALUX BALANCE AL AGUA BERMELLON x500 ML;7796374010389;Alba;
11229;ALBALUX BALANCE AL AGUA AZUL MARINO x1 LITROS;7796374010457;Alba;https://somosrex.com/esmalte-al-agua-brillante-azul-navy-albalux-1-l-alba.html
11237;ALBALUX BALANCE AL AGUA VERDE NOCHE x 4 LITROS;7796374010525;Alba;https://somosrex.com/esmalte-al-agua-brillante-azul-navy-albalux-4-lts-alba.html
11242;ALBALUX BALANCE AL AGUA GRIS HIELO x 1 LITROS;7796374010631;Alba;https://somosrex.com/esmalte-albalux-balance-brillante-gris-hielo-1-lt.html
11243;ALBALUX BALANCE AL AGUA MARRON x 4 LITROS;7796374010587;Alba;https://somosrex.com/esmalte-al-agua-brillante-marron-village-albalux-4-lts-alba.html
11247;LATEX DESSUTOL PRO INT-EXT X 5 LITROS;7792261028260;Venier;
11248;LATEX DESSUTOL PRO INT-EXT X 12 LITROS;7792261028277;Venier;
11249;PISTOLA DE GRAVEDAD C/TAZA PLASTICA  A2  S;0;Adiabatic;https://somosrex.com/equipo-de-pintar-hvlp-adiabatic-ec2000-pistola-taza-gravedad.html
11292;CORTINA POLIESTER SCREEN LINO 1 X 1.65  E;7798197191887;Metalurgica La Hacendosa;
11296;PASTILLAS MULTIFUNCION 200 X 1 KG CLOROTEC;7792955011813;clorotec;https://somosrex.com/clorotec-pastillas-triple-accion-x-1-kg.html
11299;CLARIFICADOR PLUS X 1 CLOROTEC;7792955011998;clorotec;https://somosrex.com/clorotec-clarificador-plus.html
11300;BOYA DOSIFICADORA CLOROTEC;7792955050522;clorotec;https://somosrex.com/clorotec-boya-chica.html
11306;MICROMEMBRANA  P/MADERA SATINADO CEDRO X 1 LITROS;7798125156438;Merclin;
11308;G3 PRO DA CUTTING COMP 7500 X500CC;842090102925;Flimpex;
11311;SELLAGRES AL AGUA X4 LITROS;7794876003212;Penta/Petrilac;https://somosrex.com/impermeabilizante-para-ladrillo-y-tejas-sellagres-polilak-4-lts-siliconado.html
