Codigo;EAN;Detalhe;Marca;Link consultado;Preço;Preço antigo;banco 1 nome;banco 1 parcelas;banco 1 preço;banco 2 nome;banco 2 parcelas;banco 2 preço;banco 3 nome;banco 3 parcelas;banco 3 preço
3694;7798075650024;COBERTOR PLASTICO BLANCO RUCAR 3x3 (rex);Rucar;https://somosrex.com/cobertor-de-polipropileno-40-micrones-3-x-3-mt.html;$4.186;$5.796;Santander;3 cuotas s/int (total c/reintegro incluido);$3.663;Provincia;6 cuotas s/int (total c/reintegro incluido);$4.186;Galicia;6 cuotas s/int (total c/reintegro incluido);$4.186
4496;7798121121638;RODILLO SIMIL LANA 22cm BAMBIN;Bambin;https://somosrex.com/rodillo-lana-22cm-rodilan.html;$6.436;$8.045;Santander;3 cuotas s/int (total c/reintegro incluido);$5.631;Provincia;6 cuotas s/int (total c/reintegro incluido);$6.436;Galicia;6 cuotas s/int (total c/reintegro incluido);$6.436
5339;7798121122444;RODILLO LANA DORADO 22cm BAMBIN (lumar);Bambin;https://somosrex.com/rodillo-marron-22-cm-lumar.html;$18.484;$23.105;Santander;3 cuotas s/int (total c/reintegro incluido);$16.173;Provincia;6 cuotas s/int (total c/reintegro incluido);$18.484;Galicia;6 cuotas s/int (total c/reintegro incluido);$18.484
6022;7798034445272;PINCEL CELESTE V1 10;El Galgo;https://somosrex.com/pincel-chino-v1-n-10-el-galgo.html;$2.962;$3.702;Santander;3 cuotas s/int (total c/reintegro incluido);$2.591;Provincia;6 cuotas s/int (total c/reintegro incluido);$2.962;Galicia;6 cuotas s/int (total c/reintegro incluido);$2.962
6027;7798034445364;PINCEL VIROLA 1 CELESTE  Nº30 EL GALGO;El Galgo;https://somosrex.com/pincel-chino-v1-n-30-el-galgo.html;$7.918;$9.898;Santander;3 cuotas s/int (total c/reintegro incluido);$6.928;Provincia;6 cuotas s/int (total c/reintegro incluido);$7.918;Galicia;6 cuotas s/int (total c/reintegro incluido);$7.918
6193;7796374018712;ALBALATEX ULTRALAVABLE BLANCO x4 LITROS;Alba;https://somosrex.com/albalatex-ultralavable-interior-mate-blanco-04-lt.html;$48.588;$69.412;Santander;3 cuotas s/int (total c/reintegro incluido);$42.514;Provincia;6 cuotas s/int (total c/reintegro incluido);$48.588;Galicia;6 cuotas s/int (total c/reintegro incluido);$48.588
6195;7796374018736;LATEX INT. ALBALATEX ULTRAVABLE MATE BLANCO ALBA 20 LITROS;Alba;https://somosrex.com/latex-interior-albalatex-ultralavable-mate-blanco-20-lts-alba.html;$193.299;$276.142;Santander;3 cuotas s/int (total c/reintegro incluido);$169.137;Provincia;6 cuotas s/int (total c/reintegro incluido);$193.300;Galicia;6 cuotas s/int (total c/reintegro incluido);$193.300
6269;7791882001003;PASTILLAS MULTIACCION 200 NATACLOR x1KG  E;Nataclor E;https://somosrex.com/pastillas-cloro-multiaccion-200-gr-x-1-kg-nataclor.html;$15.162;$27.075;Santander;3 cuotas s/int (total c/reintegro incluido);$13.266;Provincia;6 cuotas s/int (total c/reintegro incluido);$15.162;Galicia;6 cuotas s/int (total c/reintegro incluido);$15.162
6270;7791882000372;KIT PILETA LONA PAS.250 + BOYA 50GRS  E;Nataclor E;https://somosrex.com/tratamiento-para-pileta-lona-sin-cloro-natabio-500-cc-nataclor.html;$6.811;$11.351;Santander;3 cuotas s/int (total c/reintegro incluido);$5.959;Provincia;6 cuotas s/int (total c/reintegro incluido);$6.811;Galicia;6 cuotas s/int (total c/reintegro incluido);$6.811
6568;7891019915460;REPARA PAREDES  ALABASTINE 330 gr;Alba;https://somosrex.com/alabastine-repara-paredes-330gr-alba.html;$4.327;$5.992;Santander;3 cuotas s/int (total c/reintegro incluido);$3.786;Provincia;6 cuotas s/int (total c/reintegro incluido);$4.327;Galicia;6 cuotas s/int (total c/reintegro incluido);$4.327
6571;7891019915491;REPARA PAREDES PRO ALABASTINE  600 cc;Alba;https://somosrex.com/alabastine-repara-paredes-pro-600-ml-alba.html;$8.701;$12.431;Santander;3 cuotas s/int (total c/reintegro incluido);$7.614;Provincia;6 cuotas s/int (total c/reintegro incluido);$8.701;Galicia;6 cuotas s/int (total c/reintegro incluido);$8.701
6572;7891019915675;REPARA PAREDES PRO ALABASTINE  2.5  LITROS;Alba;https://somosrex.com/alabastine-repara-paredes-pro-2-5-l-alba.html;$41.960;$55.131;Santander;3 cuotas s/int (total c/reintegro incluido);$36.715;Provincia;6 cuotas s/int (total c/reintegro incluido);$41.960;Galicia;6 cuotas s/int (total c/reintegro incluido);$41.960
6764;7798184155373;PINCEL OBRA V1 ECONOMICO AZUL 15;El Galgo;https://somosrex.com/pincel-chino-v1-n-15-el-galgo.html;$3.719;$4.649;Santander;3 cuotas s/int (total c/reintegro incluido);$3.254;Provincia;6 cuotas s/int (total c/reintegro incluido);$3.719;Galicia;6 cuotas s/int (total c/reintegro incluido);$3.719
6765;7798184155380;PINCEL VIROLA AZUL EL GALGO Nro 20;El Galgo;https://somosrex.com/pincel-chino-v1-n-20-el-galgo.html;$4.423;$5.529;Santander;3 cuotas s/int (total c/reintegro incluido);$3.870;Provincia;6 cuotas s/int (total c/reintegro incluido);$4.423;Galicia;6 cuotas s/int (total c/reintegro incluido);$4.423
7185;7792261023869;SUPERCAPA VENIER BLANCA X 20 LITROS;Venier;https://somosrex.com/membrana-poliuretanica-supercapa-blanco-dessutol-20-kg.html;$131.897;$180.680;Santander;3 cuotas s/int (total c/reintegro incluido);$115.409;Provincia;6 cuotas s/int (total c/reintegro incluido);$131.897;Galicia;6 cuotas s/int (total c/reintegro incluido);$131.897
7188;7792261023883;SUPERCAPA VENIER R.CERAMICO X 20 LITROS;Venier;https://somosrex.com/membrana-poliuretanica-supercapa-rojo-dessutol-20-kg.html;$131.897;$180.680;Santander;3 cuotas s/int (total c/reintegro incluido);$115.409;Provincia;6 cuotas s/int (total c/reintegro incluido);$131.897;Galicia;6 cuotas s/int (total c/reintegro incluido);$131.897
8417;7792951030047;HIDRO PERLADO BLANCO SINTEPLAST X1 LITROS;Sinteplast;https://somosrex.com/recuplast-hidroesmalte-epoxi-blanco-1-lts-sinteplast.html;$24.157;$33.449;Santander;3 cuotas s/int (total c/reintegro incluido);$21.137;Provincia;6 cuotas s/int (total c/reintegro incluido);$24.157;Galicia;6 cuotas s/int (total c/reintegro incluido);$24.157
8734;7798078723152;EQUIPO PARA PINTAR ADIABATIC EC 2000 C/TAZA ARRIBA;Adiabatic;https://somosrex.com/equipo-de-pintar-hvlp-adiabatic-ec2000-pistola-taza-gravedad.html;$377.122;$538.747;Santander;3 cuotas s/int (total c/reintegro incluido);$329.982;Provincia;6 cuotas s/int (total c/reintegro incluido);$377.122;Galicia;6 cuotas s/int (total c/reintegro incluido);$377.122
8736;754697509093;REVESTIMIENTO ROMANICA FINO ATENAS VADEX 25 K;Vadex;https://somosrex.com/revestimiento-texturado-vadex-romanica-fino-montevideo-25-kg-outlet.html;$57.857;$77.142;Santander;3 cuotas s/int (total c/reintegro incluido);$50.624;Provincia;6 cuotas s/int (total c/reintegro incluido);$57.856;Galicia;6 cuotas s/int (total c/reintegro incluido);$57.856
8739;754697503817;REVESTIM. ROMANICA MEDIO BLANCO VADEX 25 K;Vadex;https://somosrex.com/revestimiento-texturado-vadex-romanica-medio-blanco-pastel-25-kg.html;$63.742;$84.989;Santander;3 cuotas s/int (total c/reintegro incluido);$55.774;Provincia;6 cuotas s/int (total c/reintegro incluido);$63.742;Galicia;6 cuotas s/int (total c/reintegro incluido);$63.742
8743;754697503107;REVESTIM. ROMANICA MEDIO LONDRES VADEX 25 K;Vadex;https://somosrex.com/revestimiento-texturado-vadex-romanica-medio-londres-25k.html;$71.355;$95.141;Santander;3 cuotas s/int (total c/reintegro incluido);$62.436;Provincia;6 cuotas s/int (total c/reintegro incluido);$71.355;Galicia;6 cuotas s/int (total c/reintegro incluido);$71.355
8922;7797743991957;REVEAR REVOQUE PLAST. ILUSION ESMERALDA X25 S;Revear;https://somosrex.com/revestimiento-revoque-fino-flexible-blanco-revear-25-kg.html;$136.335;$181.780;Santander;3 cuotas s/int (total c/reintegro incluido);$119.293;Provincia;6 cuotas s/int (total c/reintegro incluido);$136.335;Galicia;6 cuotas s/int (total c/reintegro incluido);$136.335
8958;7797568000094;ENDUIDO INTERIOR ANDINA x 1 LITROS;Andina;https://somosrex.com/enduido-interior-andina-1-lt.html;$5.220;$6.960;Santander;3 cuotas s/int (total c/reintegro incluido);$4.567;Provincia;6 cuotas s/int (total c/reintegro incluido);$5.220;Galicia;6 cuotas s/int (total c/reintegro incluido);$5.220
8996;7797568000100;ENDUIDO INTERIOR ANDINA x 4 LITROS;Andina;https://somosrex.com/enduido-interior-andina-4-lt.html;$10.505;$14.006;Santander;3 cuotas s/int (total c/reintegro incluido);$9.192;Provincia;6 cuotas s/int (total c/reintegro incluido);$10.505;Galicia;6 cuotas s/int (total c/reintegro incluido);$10.505
9015;7797568000117;ENDUIDO INTERIOR ANDINA x10 LITROS;Andina;https://somosrex.com/enduido-interior-andina-10-lt.html;$24.623;$32.831;Santander;3 cuotas s/int (total c/reintegro incluido);$21.545;Provincia;6 cuotas s/int (total c/reintegro incluido);$24.623;Galicia;6 cuotas s/int (total c/reintegro incluido);$24.623
9016;7797568000124;ENDUIDO INTERIOR ANDINA x20 LITROS;Andina;https://somosrex.com/enduido-interior-andina-20-lt.html;$36.960;$49.280;Santander;3 cuotas s/int (total c/reintegro incluido);$32.340;Provincia;6 cuotas s/int (total c/reintegro incluido);$36.960;Galicia;6 cuotas s/int (total c/reintegro incluido);$36.960
9133;7796374865354;ALBALATEX DESIGN INTERIOR  MATE BLANCO ALBA 10 LITROS;Alba;https://somosrex.com/albalatex-pintura-latex-interior-mate-10-lt.html;$83.090;$110.786;Santander;3 cuotas s/int (total c/reintegro incluido);$72.703;Provincia;6 cuotas s/int (total c/reintegro incluido);$83.090;Galicia;6 cuotas s/int (total c/reintegro incluido);$83.090
9134;7796374865361;ALBALATEX DESIGN INTERIOR  MATE BLANCO ALBA 20 LITROS;Alba;https://somosrex.com/latex-interior-albalatex-mate-blanco-20-lts-alba.html;$128.499;$183.571;Santander;3 cuotas s/int (total c/reintegro incluido);$112.437;Provincia;6 cuotas s/int (total c/reintegro incluido);$128.500;Galicia;6 cuotas s/int (total c/reintegro incluido);$128.500
9185;7796466302125;REPOSERA SILLON BLANCA 5 POSICIONES 7/8 ALUM. ZACA;Tubogar;https://somosrex.com/silla-playa-plegable-reposera-botafogo-copacabana-azul-royal.html;$67.999;$113.333;Santander;3 cuotas s/int (total c/reintegro incluido);$59.500;Provincia;6 cuotas s/int (total c/reintegro incluido);$68.000;Galicia;6 cuotas s/int (total c/reintegro incluido);$68.000
9300;7798225220053;HIDROLAVADORA HL150 ELECTRICA LUSQTOFF;Lusqtoff;https://somosrex.com/hidrolavadora-alta-presion-135b-1500w-lhl150-lusqtoff.html;$190.808;$310.258;Santander;3 cuotas s/int (total c/reintegro incluido);$166.957;Provincia;6 cuotas s/int (total c/reintegro incluido);$190.808;Galicia;6 cuotas s/int (total c/reintegro incluido);$190.808
9421;7790715011134;LATEX INTERIOR ACRYLATEX MATE BLANCO COLORIN 20 LLITROS;Colorin;https://somosrex.com/latex-interior-acrylatex-20-lt.html;$69.276;$86.596;Santander;3 cuotas s/int (total c/reintegro incluido);$60.617;Provincia;6 cuotas s/int (total c/reintegro incluido);$69.276;Galicia;6 cuotas s/int (total c/reintegro incluido);$69.276
9515;7790715011837;ENDUIDO INTERIOR COMODIN 20 KG;Colorin;https://somosrex.com/enduido-plastico-para-interior-comodin-x-20-lts-colorin.html;$47.480;$63.306;Santander;3 cuotas s/int (total c/reintegro incluido);$41.545;Provincia;6 cuotas s/int (total c/reintegro incluido);$47.480;Galicia;6 cuotas s/int (total c/reintegro incluido);$47.480
9809;7790368293925;YOGURTERA CON 12 FRASCOS DE VIDRIO ULTRACOMB;First Rate Ultracomb;https://somosrex.com/yogurtera-electrica-ultracomb-yg2712-12-jarros-de-vidrio-de-210-ml.html;$71.015;$101.450;Santander;3 cuotas s/int (total c/reintegro incluido);$62.138;Provincia;6 cuotas s/int (total c/reintegro incluido);$71.015;Galicia;6 cuotas s/int (total c/reintegro incluido);$71.015
10292;7796374866726;LATEX P/PISOS ANTIDES. MATE GRIS GRAFITO ALBA 4 LITROS;Alba;https://somosrex.com/pintura-para-pisos-acrilico-ceniza-alba-4-lt.html;$46.558;$64.468;Santander;3 cuotas s/int (total c/reintegro incluido);$40.739;Provincia;6 cuotas s/int (total c/reintegro incluido);$46.558;Galicia;6 cuotas s/int (total c/reintegro incluido);$46.558
10344;723540507135;REVESTIM. ROMANICA FINO SYDNEY VADEX 25 K;Vadex;https://somosrex.com/revestimiento-texturado-vadex-romanica-fino-montevideo-25-kg-outlet.html;$57.857;$77.142;Santander;3 cuotas s/int (total c/reintegro incluido);$50.624;Provincia;6 cuotas s/int (total c/reintegro incluido);$57.856;Galicia;6 cuotas s/int (total c/reintegro incluido);$57.856
